"N°","Color","Equipo Autonomo","Prioridad","Fecha apertura","Descripción anomalia","Estado actual"
"120","Verde","Calandrado","Media","2019-01-31T23:10:10.000Z","Manguera de aire bajo fosa reemplazar por caño #G2-61","Cerrada"
"122","Verde","Calandrado","Media","2019-01-31T23:10:10.000Z","Identificar mangueras de refrigeracion #G2-62","Cerrada"
"125","Verde","Calandrado","Baja","2019-01-31T23:10:10.000Z","Amurar mueble blanco para elementos de limpieza #G2-63","Cerrada"
"129","Verde","Calandrado","Media","2019-01-31T23:10:10.000Z","Optimizar sist. De inyeccion de aire p/ despegue de films de rolo #G2-64","Cerrada"
"134","Verde","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Nuevo ciclón de alimentación , las mangas son permeables , la recolección en la bolsa  #G1-68","Cerrada"
"135","Verde","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Descarga de aceite en contenedor -mejorar c/cañería  #G1-69","Cerrada"
"136","Verde","Calandrado","Media","2019-01-31T23:10:10.000Z","Sistema de refile. Hacer protección para evitar contaminación de producto #G2-70","Cerrada"
"149","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Chapa tipo rejilla no protege el ingreso de PVC dentro de los equipos en equipo aux frio #G3-1","Cerrada"
"152","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Las tuercas para desarmar chapas seria mejor que sean mariposas en equipo aux frio #G3-2","Cerrada"
"156","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Se dificulta el acceso a llaves de agua fría en equipo auxiliar frio #G3-3","Cerrada"
"159","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Escalera este de plataforma obstruye el paso hacia válvula de aceite en plataforma de extrusor #G3-4","Cerrada"
"160","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Cubrir jaula de llaves de aceite con chapa para evitar contaminación en caja de bomba de extrusor #G3-5","Cerrada"
"164","Verde","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Marcar rango de trabajo en manómetros de bombas de extrusión y planetarias #G3-9","Cerrada"
"170","Verde","Calandrado","Media","2019-02-28T23:10:10.000Z","El rolo gofrador queda guardado sobre el piso soportado por dos tacos de madera y perdiendo agua #G2-506","Cerrada"
"177","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Relojes de manómetros sin identificación del rango de operación en equipo aux frio #G3-508","Cerrada"
"182","Verde","Servicios Auxiliares","Baja","2019-02-28T23:10:10.000Z","Cañería sin indicador de sentido de flujo en equipo aux frio #G3-509","Cerrada"
"185","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Al estar cubierto de chapas todo el sist de bombas se dificulta la visión de los equipos a simple vista en Rolo laminador #G3-510","Cerrada"
"189","Verde","Calandrado","Media","2019-02-28T23:10:10.000Z","Parada de emergencia al lado del segundo bobinador mas accesible #G2-511","Cerrada"
"193","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Identificar tipo de fluido y sentido en caja bomba de extrusión #G3-512","Cerrada"
"202","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Asegurar tapas con acoples rápidos y colocar ventanas de inspección en caja de bombas del rolo estiro #G3-514","Cerrada"
"204","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Platón de luz interior no permite abrir la tapa superior. Modificar con luces led en caja bomba extrusión #G3-515","Cerrada"
"208","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Colocar rango de trabajo al termómetro de aceite frio en la zona de mesa de limpieza #G3-516","Cerrada"
"211","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Mejorar base de fijación del cabezal en la zona de mesa de limpieza #G3-517","Cerrada"
"212","Verde","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Mejorar sist. De drenaje tanque de aceite. Sacar bidon #G3-518","Cerrada"
"244","Verde","Calandrado","Media","2019-03-25T23:10:10.000Z","Colocar acrílico al panel de sensores de presión para protegerlos #G2-53","Cerrada"
"248","Verde","Calandrado","Media","2019-03-28T23:10:10.000Z","Definir e implementar backup de rollos con papel #G2-54","Cerrada"
"249","Verde","Calandrado","Media","2019-03-28T23:10:10.000Z","Definir tablero de información / lupero #G2-55","Cerrada"
"250","Verde","Calandrado","Media","2019-03-28T23:10:10.000Z","Cartelera sector rollo papel para cilindro limpiador de estiro #G2-56","Cerrada"
"251","Verde","Alimentación y Extrusión","Baja","2019-03-29T23:10:10.000Z","Manguera de aire demasiado larga en tolva forzadora #G1-66","Cerrada"
"264","Verde","Alimentación y Extrusión","Alta","2019-03-29T23:10:10.000Z","Perdida de compuesto durante operación de cambio de carro #G1-521","Abierta"
"265","Verde","Alimentación y Extrusión","Baja","2019-03-29T23:10:10.000Z","Indicar rango de trabajo de vacuómetro #G1-522","Cerrada"
"266","Verde","Alimentación y Extrusión","Media","2019-03-29T23:10:10.000Z","Indicar rango de trabajo de bomba de lubricación de reductor extrusor inferior #G1-523","Cerrada"
"267","Verde","Alimentación y Extrusión","Media","2019-03-29T23:10:10.000Z","Cambiar rechazo de ciclones de compuesto, recuperado y detector de metales por caño (actual manguera) #G1-526","Cerrada"
"268","Verde","Alimentación y Extrusión","Alta","2019-03-29T23:10:10.000Z","Motor de CC. Extrusor tecnología obsoleta. Alto costo de mantenimiento. Repuestos discontinuados #G1-528","Cerrada"
"270","Verde","Alimentación y Extrusión","Media","2019-03-29T23:10:10.000Z","Motor de CC. De planetario tecnología obsoleta. Difícil mantenimiento, alto costo #G1-529","Cerrada"
"271","Verde","Servicios Auxiliares","Alta","2019-03-29T23:10:10.000Z","Capacidad de enfriamiento de sist  de aceite frio insuficiente - Ampliar #G3-530","Cerrada"
"330","Verde","Servicios Auxiliares","Media","2019-04-17T23:10:10.000Z","Colocar manijas al sistema de chapas para poder operar con mayor seguridad en cuarto bombas estiro  #G3-74","Cerrada"
"331","Verde","Servicios Auxiliares","Media","2019-04-17T23:10:10.000Z","Colocar manijas al sistema de chapas para poder operar con mayor seguridad en cuarto bombas extrusor  #G3-75","Cerrada"
"332","Verde","Servicios Auxiliares","Media","2019-04-17T23:10:10.000Z","Colocar manijas al sistema de chapas para poder operar con mayor seguridad en cuarto bombas laminado #G3-507","Cerrada"
"333","Verde","Servicios Auxiliares","Media","2019-04-17T23:10:10.000Z","Colocar manijas al sistema de chapas para poder operar con mayor seguridad en cuarto bombas de frio #G3-520","Cerrada"
"351","Verde","Alimentación y Extrusión","Media","2019-04-23T23:10:10.000Z","Mejorar sistema de descarga de silos #G1-519","Cerrada"
"352","Verde","Alimentación y Extrusión","Media","2019-04-23T23:10:10.000Z","Cerramiento hasta el piso en sector tornillo #G1-1003","Cerrada"
"353","Verde","Alimentación y Extrusión","Media","2019-04-23T23:10:10.000Z","En el primer nivel de alimentación colocar chapón en el piso #G1-1004","Cerrada"
"401","Verde","Alimentación y Extrusión","Media","2019-05-03T23:10:10.000Z","Colocar lateral a escalera para subir al piso de la tolva de alimentacion #G1-71","Cerrada"
"408","Verde","Calandrado","Media","2019-05-08T23:10:10.000Z","Modificar compuesrta que se utiliza para hacer pasaje cuando producen laminado. Hacerla corrediza #G2-65","Cerrada"
"409","Verde","Calandrado","Media","2019-05-10T23:10:10.000Z","Disponer de tapones para los flexibles que se desconectan evitando que pierdan fluidos #G2-72","Cerrada"
"410","Verde","Calandrado","Media","2019-05-10T23:10:10.000Z","Eliminar partes del sistema de laminado que no se utiliza #G2-1001","Cerrada"
"412","Verde","Calandrado","Alta","2019-05-12T23:10:10.000Z","Mejorar el movimiento lineal del carro porta bobinas para laminado #G2-1006","Cerrada"
"413","Verde","Calandrado","Alta","2019-05-12T23:10:10.000Z","Colocar soporte para ducto de aire, refrigeracion motor rolo superior #G2-1007","Cerrada"
"415","Verde","Calandrado","Media","2019-05-12T23:10:10.000Z","Modificar  plataforma sobre el tren de frio y colocar baranda, peligro de caidas #G2-1009","Cerrada"
"414","Verde","Calandrado","Alta","2019-05-12T23:10:10.000Z","Confeccionar banco para limpiar los laminadores con mas facilidad, hoy es muy incomodos y dificil de limpiarlos #G2-1008","Cerrada"
"417","Verde","Calandrado","Alta","2019-05-15T23:10:10.000Z","Diseñar plataforma con tapa para extraer aceite de fosa #G2-1010","Cerrada"
"418","Verde","Calandrado","Alta","2019-05-15T23:10:10.000Z","Bomba de extraccion de barros de fosa #G2-1011","Cerrada"
"446","Verde","Alimentación y Extrusión","Media","2019-05-27T23:10:10.000Z","Hierro perfil en U sobresale en el sector anterior del carro a la altura del 2° nivel de alimentacion y dificulta el acceso en medio de elevacion para limpiar las velas #G1-1015","Cerrada"
"447","Verde","Alimentación y Extrusión","Media","2019-05-27T23:10:10.000Z","Perfil / Viga sobresaliente en el techo del 1° nivel de alimentacion #G1-1016","Cerrada"
"448","Verde","Alimentación y Extrusión","Media","2019-05-27T23:10:10.000Z","Cables de bandeja sector fosa interna (bajo planetario) desordenados y dificultan acceso a limpieza. Se recomienda usar pasacable #G1-1018","Cerrada"
"449","Verde","Alimentación y Extrusión","Media","2019-05-27T23:10:10.000Z","El techo del sector de tableros electricos es demasiado rugoso y no se logra limpiar correctamente con el barrido #G1-1019","Cerrada"
"450","Verde","Alimentación y Extrusión","Alta","2019-05-27T23:10:10.000Z","No hay indicacion sobre posicion de valvulas. Nohay indicacion de paso de agua. Caudalimetro. Ciruito de agua fria - tapa planetario #G1-1020","Cerrada"
"469","Verde","Planta de Mezclado","Alta","2019-06-12T23:10:10.000Z","Las bolsas de aditivo solido quedan abiertas con riesgo de contaminacion. Armar dosificador igual que en vitopel #G4-8","Cerrada"
"470","Verde","Planta de Mezclado","Media","2019-06-12T23:10:10.000Z","Reforzar plataforma de tachos liquidos de 3° piso. Se mueve y esta floja #G4-9","Cerrada"
"471","Verde","Planta de Mezclado","Alta","2019-06-12T23:10:10.000Z","Cambiar ducto (carga de resina) manguera por ducto rigido, la manguera esta rota y baja #G4-10","Cerrada"
"472","Verde","Planta de Mezclado","Alta","2019-06-12T23:10:10.000Z","Colocar un caño de mayor diametro de descarga a balanza, para dismunuir tiempo de carga. SE AISLARÁ TERMICAMENTE LAS CAÑERIAS #G4-11","Cerrada"
"473","Verde","Planta de Mezclado","Media","2019-06-12T23:10:10.000Z","Eliminar ciclon #G4-13","Cerrada"
"474","Verde","Planta de Mezclado","Media","2019-06-12T23:10:10.000Z","Eliminar cañeria que fue de la balanza de liquidos del turbo 350 #G4-14","Cerrada"
"476","Verde","Planta de Mezclado","Media","2019-06-12T23:10:10.000Z","Mejorar sistema de limpieza de filtros no funciona bien aspirador #G4-15","Cerrada"
"478","Verde","Planta de Mezclado","Alta","2019-06-12T23:10:10.000Z","La balanza de liquidos tiene  caños dentro de la tolva, lo cual es muy dificil acceder para limpiar adentro. Levantar los caños #G4-17","Cerrada"
"477","Verde","Planta de Mezclado","Media","2019-06-12T23:10:10.000Z","Colocar valvula o llave para asi descargar los liquidos en forma manual debajo de los tachos de liquidos #G4-16","Cerrada"
"479","Verde","Planta de Mezclado","Media","2019-06-12T23:10:10.000Z","Cambiar manguera por ducto rigido con acople rapido en aspiracion de solidos #G4-18","Cerrada"
"480","Verde","Planta de Mezclado","Media","2019-06-12T23:10:10.000Z","Arriba de carro movil colocar una chapa en forma de techo para evitar la contaminacion y a su vez colgar ganchos #G4-19","Cerrada"
"487","Verde","Alimentación y Extrusión","Media","2019-06-12T23:10:10.000Z","Puerta de proteccion de operación de yunto se abre sola #G1-1023","Cerrada"
"486","Verde","Servicios Auxiliares","Media","2019-06-12T23:10:10.000Z","Termocuplas expuestas a golpes o movimientos en servicio auxiliar bomba de frio. Proteger mejor #G3-1021","Cerrada"
"518","Verde","Planta de Mezclado","Alta","2019-06-21T23:10:10.000Z","Colocar  un aro de acero inox. Como distribuidor de liquidos en el interior de la tapa del mezclador #G4-1022","Cerrada"
"519","Verde","Planta de Mezclado","Alta","2019-06-21T23:10:10.000Z","Modificar actual metodo de control de liq. Provoca ensuciamiento y perdidas por contaminacion, cambiar para instalar controles de proceso.Se elimino control de liquido manual #G4-1024","Cerrada"
"520","Verde","Planta de Mezclado","Alta","2019-06-21T23:10:10.000Z","Establecer metodo y frecuencia de limpieza del mezclador #G4-1025","Cerrada"
"521","Verde","Planta de Mezclado","Alta","2019-06-21T23:10:10.000Z","Establecer metodo y frecuencia de limpieza de enfriador #G4-1026","Cerrada"
"522","Verde","Planta de Mezclado","Alta","2019-06-21T23:10:10.000Z","Establecer metodo y frecuencia de limpieza de elementos de transporte hasta ciclon de calandrette #G4-1027","Cerrada"
"523","Verde","Planta de Mezclado","Media","2019-06-21T23:10:10.000Z","Establecer metodologia , especificacion y frecuencia de control de calidad de compuesto de PVC #G4-1028","Cerrada"
"525","Verde","Planta de Mezclado","Alta","2019-06-21T23:10:10.000Z","Establecer condicion de de proceso en turbo mezclador para la operación de vacio #G4-1030","Cerrada"
"524","Verde","Planta de Mezclado","Alta","2019-06-21T23:10:10.000Z","Definir nivel actual de habilidades y conocimientos de los opreadores de turbo y planificar capacitaciones necesarias #G4-1029","Cerrada"
"532","Verde","Planta de Mezclado","Alta","2019-07-03T23:10:10.000Z","Comfeccionar los recipientes para limpieza del filtro de los solidos #G4-15","Cerrada"
"536","Verde","Calandrado","Media","2019-07-03T23:10:10.000Z","Soporte del puente sobre escaleras de acceso a nivel superior (modificar) #G2-1031","Cerrada"
"537","Verde","Calandrado","Baja","2019-07-03T23:10:10.000Z","Colocar un rolo mas en pasaje de refile hacia el molino  #G2-1032","Abierta"
"538","Verde","Planta de Mezclado","Alta","2019-07-03T23:10:10.000Z","La helice de repuesto estan fuera de especificacion sin tratamiento superficial para utilixar como cambio rapido  #G4-1033","Cerrada"
"539","Verde","Planta de Mezclado","Alta","2019-07-03T23:10:10.000Z","El tornillo de descarga deberia ser de acero inoxidable  #G4-1034","Cerrada"
"540","Verde","Alimentación y Extrusión","Baja","2019-07-03T23:10:10.000Z","Soldar manijas a cuba de tortas molidas. #G1-1035","Cerrada"
"541","Verde","Calandrado","Baja","2019-07-03T23:10:10.000Z","Soldar manijas a cuba de tortas molidas  #G2-1035","Cerrada"
"542","Verde","Planta de Mezclado","Alta","2019-07-03T23:10:10.000Z","Control inalambrico para puente grua de resina y mantenerlos lejos de los bolsones  #G4-1036","Cerrada"
"543","Verde","Planta de Mezclado","Media","2019-07-03T23:10:10.000Z","La tapa no tiene enganche para que quede abierta , tiene soga /suncho  #G4-1037","Cerrada"
"544","Verde","Planta de Mezclado","Media","2019-07-03T23:10:10.000Z","Algunsistema de soplado para no vaciar los carros en altura y poner bolsones debajo de 1200 kg #G4-1038","Cerrada"
"545","Verde","Planta de Mezclado","Media","2019-07-03T23:10:10.000Z","La tabla no tiene enganche para que quede abierta , tiene soga /suncho #G4-1039","Cerrada"
"562","Verde","Planta de Mezclado","Media","2019-07-05T23:10:10.000Z","Colocar bridas de apertuta rapida para el control y limpieza -caja acople transitube y motor  #G4-20","Cerrada"
"563","Verde","Calandrado","Media","2019-07-05T23:10:10.000Z","Colocar un canasto debajo del cardan que abra la parrilla de estiro , evitar caidas del mismo  #G2-21","Cerrada"
"564","Verde","Calandrado","Media","2019-07-05T23:10:10.000Z","Colocar un canasto debajo del cardan que abra la parrilla de castiro , evitar caidas del mismo  #G2-22","Cerrada"
"565","Verde","Calandrado","Alta","2019-07-05T23:10:10.000Z","Colocar dos plumas x distantes p/ proteccion de los roles , con puntas de repuesto (cambio rapido ) #G2-23","Cerrada"
"566","Verde","Calandrado","Media","2019-07-05T23:10:10.000Z","Colocar monitor en el laboratorio de planta p/ visualizar c/ confrontamiento del perfil cuando se realiza los controles de CC #G2-24","Abierta"
"567","Verde","Calandrado","Baja","2019-07-05T23:10:10.000Z","Manguera colgada (aire) demasiado larga  #G2-66","Cerrada"
"568","Verde","Planta de Mezclado","Media","2019-07-05T23:10:10.000Z","Colocar bridas de apertuta rapida para tener un  control y limpieza rapida  #G4-1041","Cerrada"
"569","Verde","Planta de Mezclado","Media","2019-07-05T23:10:10.000Z","Colocar bridas de apertuta rapida para tener un  control y limpieza rapida  #G4-1042","Cerrada"
"570","Verde","Planta de Mezclado","Media","2019-07-05T23:10:10.000Z","Colocar bridas de apertuta rapida para tener un  control y limpieza rapida  #G4-1043","Cerrada"
"571","Verde","Planta de Mezclado","Media","2019-07-05T23:10:10.000Z","Colocar bridas de apertuta rapida para tener un  control y limpieza rapida  #G4-1044","Cerrada"
"587","Verde","Calandrado","Media","2019-07-25T23:10:10.000Z","Buscar ubicación soporte p/ las placas de calibracion de fag  #G2-2286","Cerrada"
"588","Verde","Calandrado","Media","2019-07-25T23:10:10.000Z","Se deja papeles en bandeja - colocar un soporte y definir lugar  #G2-2287","Cerrada"
"589","Verde","Calandrado","Media","2019-07-25T23:10:10.000Z","(Se observo abrigo (Rops) de colaborador colgado del soporte de casco) comprar pequeño locker  #G2-2288","Cerrada"
"590","Verde","Calandrado","Baja","2019-07-25T23:10:10.000Z","Cables sueltos que suben desde el piso por la columna donde esta el cartel mapa riesgo calandra  #G2-2289","Abierta"
"591","Verde","Servicios Auxiliares","Media","2019-07-25T23:10:10.000Z","Colocar acrilico en puertas de gabinetes de bombas de frio/estiro #G3-2290","Cerrada"
"592","Verde","Calandrado","Baja","2019-07-25T23:10:10.000Z","Desmarcar zona donde ubicar las pesas que estan debajo la escalera  #G2-2291","Cerrada"
"593","Verde","Calandrado","Baja","2019-07-25T23:10:10.000Z","Eliminar soporte aceite  en interior  #G2-2292","Cerrada"
"594","Verde","Planta de Mezclado","Media","2019-07-25T23:10:10.000Z","Colocar el ventilador de pie o algun soporte que quedde fijo  #G4-2299","Cerrada"
"595","Verde","Planta de Mezclado","Media","2019-07-25T23:10:10.000Z","Ver lo posibilidad de sacarlo por que no se uso. En su lugar se pueden poner Expendidor de materia prima a pesar  #G4-2300","Cerrada"
"624","Verde","Planta de Mezclado","Media","2019-07-26T23:10:10.000Z","El sensor de nivel esta en el cono trabando la descarga de scrap. Colocar despues del cono se puede contaminar  #G4-2297","Abierta"
"625","Verde","Planta de Mezclado","Alta","2019-07-26T23:10:10.000Z","No hay equipo para dosificar EPVC o copolimero .  Nva BZA para dosificar EPVC debajo de turbo  #G4-2298","Abierta"
"635","Verde","Planta de Mezclado","Media","2019-07-30T23:10:10.000Z","Confeccionar recipiente para limpieza del filtro de los oslidos ,puede ser un maxibidon #G4-25","Cerrada"
"649","Verde","Planta de Mezclado","Media","2019-08-07T23:10:10.000Z","El sensor de nivel de la tolva de recuperado esta demasiado proximo a la salida. #G4-2284","Abierta"
"680","Verde","Planta de Mezclado","Baja","2019-08-13T23:10:10.000Z","La valvula automatica esta despues del filtro de aire (caja filtrante).No hay posibilidad de vaciar completamente los caños,riesgo de contaminacion en caso de materiales diferentes en los dos silos. #G4-2268","Abierta"
"681","Verde","Servicios Auxiliares","Alta","2019-08-13T23:10:10.000Z","Caños y valvulas protejer acceso #G3-2269","Cerrada"
"713","Verde","Servicios Auxiliares","Media","2019-08-15T23:10:10.000Z","Colocar chapas en techo y laterales #G3-2243","Cerrada"
"714","Verde","Alimentación y Extrusión","Media","2019-08-15T23:10:10.000Z","Colocar conexión de las termocuplas desde arriba #G1-2246","Cerrada"
"715","Verde","Alimentación y Extrusión","Media","2019-08-15T23:10:10.000Z","Colocar recubrimiento de color/pintar cable de termocupla y zonas del mismo color (ayuda visual). #G1-2247","Cerrada"
"716","Verde","Calandrado","Media","2019-08-15T23:10:10.000Z","Identificar funcion de interruptor desconocido en tablero tren de estiro lado motor  #G2-2249","Cerrada"
"717","Verde","Calandrado","Alta","2019-08-15T23:10:10.000Z","Hacer soporte p/paletas de madera para hacer pasaje #G2-2252","Cerrada"
"718","Verde","Calandrado","Media","2019-08-15T23:10:10.000Z","Identificar tablero electrico zona tren de estiro cada motor  #G2-2253","Cerrada"
"719","Verde","Calandrado","Media","2019-08-15T23:10:10.000Z","Identificar tablero electrico rolos principal  #G2-2254","Cerrada"
"720","Verde","Calandrado","Media","2019-08-15T23:10:10.000Z","Conseguir lupero y darle una ubicación en zona de calandra  #G2-2256","Cerrada"
"721","Verde","Alimentación y Extrusión","Media","2019-08-15T23:10:10.000Z","Reemplazar manguera de aire comprimido suleta por caño rígido (2 mt) #G1-2257","Cerrada"
"722","Verde","Servicios Auxiliares","Media","2019-08-15T23:10:10.000Z","Falta identificación visible de las valvulas esta abiertas o ceeradas #G3-2258","Cerrada"
"723","Verde","Alimentación y Extrusión","Media","2019-08-15T23:10:10.000Z","Reemplazar maguera de aire por cañeria rigida debajo del extrusor #G1-2259","Cerrada"
"724","Verde","Alimentación y Extrusión","Alta","2019-08-15T23:10:10.000Z","Falta aislación y protección para cañería de equipo nuevo (aceite caliente) #G1-2264","Cerrada"
"725","Verde","Calandrado","Baja","2019-08-15T23:10:10.000Z","Modificar estándar de entrega de turno y check list de limpieza p/ o segurar entrega fosa limpia #G2-2266","Abierta"
"726","Verde","Planta de Mezclado","Media","2019-08-15T23:10:10.000Z","Colocar escalera soldada en plataforma para tener acceso al cordon de la boca del Big bag para que se descargue , se usa cualquier cosa para llegar y se resfala lo que provocaria un accidente  #G4-2295","Cerrada"
"727","Verde","Planta de Mezclado","Media","2019-08-15T23:10:10.000Z","Habilita la valvula de desviacion de compuesto para los silos (1-2), asi evitar pisar la manguera y provocar perdidas de compuesto al pisarla  #G4-2296","Cerrada"
"746","Verde","Servicios Auxiliares","Baja","2019-08-22T23:10:10.000Z","Faltan manijas en Puertas #G3-2235","Cerrada"
"747","Verde","Servicios Auxiliares","Alta","2019-08-22T23:10:10.000Z","Falta idicar rangos de trabajo #G3-2238","Cerrada"
"749","Verde","Alimentación y Extrusión","Alta","2019-08-22T23:10:10.000Z","Cableado en termocupla de cabezal, desprolijo. Probabilidad de enganche. Tomar ejemplo KpB #G1-2240","Cerrada"
"748","Verde","Servicios Auxiliares","Baja","2019-08-22T23:10:10.000Z","Falta indicar sentido de flujo del fluido #G3-2239","Cerrada"
"750","Verde","Alimentación y Extrusión","Alta","2019-08-22T23:10:10.000Z","Colocación de silicona sellador de juntas de piso en 3er nivel. Caida de resina #G1-2241","Cerrada"
"751","Verde","Planta de Mezclado","Media","2019-08-22T23:10:10.000Z","Colocar telefono sobre columna para que quede fijo y cambiar cartel #G4-2293","Cerrada"
"836","Verde","Alimentación y Extrusión","Baja","2019-09-11T23:10:10.000Z","Prolongar caño de entrada para poder girar el medidor de temperatura #G1-2281","Cerrada"
"835","Verde","Alimentación y Extrusión","Baja","2019-09-11T23:10:10.000Z","Manómetro bomba lubricación reductor extrusor Inferior sin identificación y rango de trabajo. #G1-2226","Cerrada"
"837","Verde","Alimentación y Extrusión","Media","2019-09-11T23:10:10.000Z","Diseño del extrusor en su tapa no permite el uso del titan para aflojar / ajustar  #G1-2282","Abierta"
"846","Verde","Servicios Auxiliares","Media","2019-09-12T23:10:10.000Z","Pintar proteccion de reja/puerta en medio de los equipos #G3-2228","Cerrada"
"871","Verde","Servicios Auxiliares","Media","2019-09-30T23:10:10.000Z","Fabricar sistema para extraer las aero enfriadores para mtto #G3-2221","Cerrada"
"872","Verde","Servicios Auxiliares","Media","2019-09-30T23:10:10.000Z","Fabricar sistema para extraer aero Enfriadores para mtto #G3-2222","Cerrada"
"905","Verde","Planta de Mezclado","Media","2019-10-16T23:10:10.000Z","Cuando se traba el bolson de resina o para limpieza no se puede subir a la plataforma .Poner escalera de acceso. #G4-2233","Cerrada"
"904","Verde","Planta de Mezclado","Media","2019-10-16T23:10:10.000Z","En el sector de pesaje de Aditivos solidos en bolsa se deberia construir una mesa de 1,8m de largo por 0,6 m de ancho y 40 cm de alto. #G4-2232","Cerrada"
"906","Verde","Planta de Mezclado","Media","2019-10-16T23:10:10.000Z","Superficie interior de de tolva luego de tornillo de transporte de scrap debe ser revisada su superficie interior porque puede desprender particulas de pintura. #G4-2251","Cerrada"
"907","Verde","Calandrado","Media","2019-10-16T23:10:10.000Z","Hacer cuchillas de aire mejoradas, con instalacion y alimentacion fija #G2-2303","Abierta"
"908","Verde","Calandrado","Media","2019-10-16T23:10:10.000Z","regular tope manipulador para trabajar mas proximo al nivel del piso #G2-2304","Cerrada"
"909","Verde","Alimentación y Extrusión","Baja","2019-10-16T23:10:10.000Z","Colocar soporte en estructura para herrmientas yunto #G1-2307","Cerrada"
"910","Verde","Calandrado","Baja","2019-10-16T23:10:10.000Z","Demarcar esquinas para las tarimas al bajar las bobinas de debobinador #G2-2311","Cerrada"
"911","Verde","Calandrado","Baja","2019-10-16T23:10:10.000Z","Demarcar zona rejillas junto a mesa volteadora #G2-2312","Cerrada"
"912","Verde","Calandrado","Baja","2019-10-16T23:10:10.000Z","Colocar soporte p/ cinta para embalaje. Dos cintas en un soporte se cae #G2-2315","Cerrada"
"913","Verde","Calandrado","Baja","2019-10-16T23:10:10.000Z","Colocar accesorio donde se puede enganchar la soga a la hora de largada de maquina ( Se esta agarrando al lado del cuerpo del cilindro neumatico) #G2-2347","Cerrada"
"914","Verde","Alimentación y Extrusión","Alta","2019-10-16T23:10:10.000Z","Puerta del sector extrusor (yunto). Colocar policarbonato. #G1-2375","Cerrada"
"915","Verde","Calandrado","Baja","2019-10-16T23:10:10.000Z","Colocar ""palitas"" de madera idem rolos principales con soporte para limpiar rolo tractor #G2-2376","Cerrada"
"916","Verde","Calandrado","Media","2019-10-16T23:10:10.000Z","Colocar acrilico con pinzas (manitos) para sostener las ordenes #G2-2377","Cerrada"
"917","Verde","Calandrado","Media","2019-10-16T23:10:10.000Z","Reemplazar accesorios de madera de largada de maquina por acrilico #G2-2380","Cerrada"
