"N°","Color","Equipo Autonomo","Prioridad","Fecha apertura","Descripción anomalia","Estado actual"
"132","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Espacio reducido dificultad al trabajar  #G1-65","Cerrada"
"133","Amarilla","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","No dispone de baranda antideslizantes para los pies y es espacio reducido  #G1-66","Cerrada"
"165","Amarilla","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Cable eléctrico con aislación rota en equipo auxiliar frio #G3-16","Cerrada"
"166","Amarilla","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Cable electrico con aislación Rota #G3-16","Cerrada"
"168","Amarilla","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Presencia de asbestos en equipós laminadores #G3-66","Cerrada"
"167","Amarilla","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Posible presencia de asbestos en laminador #G3-66","Cerrada"
"173","Amarilla","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Tablero eléctrico abierto en caja bomba de extrusión #G3-507","Cerrada"
"174","Amarilla","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Tablero electrico abierto #G3-507","Cerrada"
"178","Amarilla","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Lugar difícil acceso para limpiar y reparar en equipo bomba rolo laminador #G3-508","Cerrada"
"181","Amarilla","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Presencia de filos cortantes en los aislantes en equipo de bombas de rolo laminador #G3-509","Cerrada"
"183","Amarilla","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Presencia de filos cortantes en las aislaciones #G3-509","Cerrada"
"192","Amarilla","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Riesgo de caída por desnivel en plataforma de extrusor #G3-512","Cerrada"
"194","Amarilla","Calandrado","Alta","2019-02-28T23:10:10.000Z","Fosa inundada con agua y aceite #G2-513","Cerrada"
"197","Amarilla","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Fosa inundada con agua y aceite #G3-513","Cerrada"
"198","Amarilla","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Foza llena con liquido de la c43 #G3-513","Cerrada"
"199","Amarilla","Calandrado","Media","2019-02-28T23:10:10.000Z","Cobertor de 3ª par de frio roto - cae condensado en motor #G2-514","Cerrada"
"246","Amarilla","Alimentación y Extrusión","Media","2019-03-26T23:10:10.000Z","Amoladora de pie sin protección ocular #G1-67","Cerrada"
"254","Amarilla","Servicios Auxiliares","Media","2019-03-29T23:10:10.000Z","Tablero EMB obstruido #G3-68","Cerrada"
"255","Amarilla","Servicios Auxiliares","Alta","2019-03-29T23:10:10.000Z","Tablero Obstruido #G3-68","Cerrada"
"256","Amarilla","Alimentación y Extrusión","Baja","2019-03-29T23:10:10.000Z","Punta de alambre en manguera plástica de aireación de motor planetario #G1-69","Cerrada"
"304","Amarilla","Calandrado","Media","2019-04-04T23:10:10.000Z","El fluorescente bajo fosa esta atado con precinto de plástico #G2-71","Abierta"
"303","Amarilla","Calandrado","Media","2019-04-04T23:10:10.000Z","La indicación de sector con riesgo de atrapamiento esta rota en rolo opresor de goma #G2-70","Cerrada"
"324","Amarilla","Calandrado","Media","2019-04-12T23:10:10.000Z","Falta protección, peligro de atrapamiento en rolo opresor de goma / 1° de frio #G2-73","Cerrada"
"344","Amarilla","Calandrado","Media","2019-04-23T23:10:10.000Z","Baranda de la escalera a la fosa esta sueltas #G2-502","Cerrada"
"345","Amarilla","Calandrado","Media","2019-04-23T23:10:10.000Z","Toma corriente roto con peligro de electrocución #G2-503","Cerrada"
"346","Amarilla","Alimentación y Extrusión","Alta","2019-04-23T23:10:10.000Z","Piso estrecho y falta puerta baranda en 3° nivel de alimentación #G1-505","Cerrada"
"347","Amarilla","Calandrado","Media","2019-04-23T23:10:10.000Z","La campana no tiene tope para revisar si se frena al moverla hacia adelante #G2-515","Cerrada"
"348","Amarilla","Alimentación y Extrusión","Alta","2019-04-23T23:10:10.000Z","Falta baranda en sector alimentación #G1-516","Cerrada"
"349","Amarilla","Alimentación y Extrusión","Media","2019-04-23T23:10:10.000Z","Falta baranda de chapa al ras del piso en el tercer nivel de alimentacion #G1-517","Cerrada"
"350","Amarilla","Calandrado","Media","2019-04-23T23:10:10.000Z","Baranda floja en plataforma de pasaje #G2-518","Cerrada"
"399","Amarilla","Calandrado","Media","2019-05-02T23:10:10.000Z","Colocar barra lateral para poder bajar a la fosa #G2-74","Abierta"
"406","Amarilla","Calandrado","Media","2019-05-06T23:10:10.000Z","Por estar los rolos de frio cerrados sin produccion le puede aprisionar la mano a un operario #G2-522","Cerrada"
"405","Amarilla","Calandrado","Media","2019-05-06T23:10:10.000Z","No hay señal luminica de cierre de rolos de frio #G2-521","Abierta"
"407","Amarilla","Calandrado","Alta","2019-05-06T23:10:10.000Z","En tren de frio es muy peligroso realizar el pasaje para laminar #G2-523","Cerrada"
"411","Amarilla","Calandrado","Media","2019-05-12T23:10:10.000Z","Escalera que baja a la fosa en calandra con aceite, muy resbaladizo bajo el 3ª tren de estiro #G2-524","Cerrada"
"416","Amarilla","Alimentación y Extrusión","Baja","2019-05-15T23:10:10.000Z","Baranda de proteccion abollada por puente grua en escalera a tolva recuperado #G1-520","Cerrada"
"441","Amarilla","Calandrado","Baja","2019-05-27T23:10:10.000Z","Bobina de polietileno interrumpe el paso en plataforma de calandra #G2-504","Cerrada"
"442","Amarilla","Alimentación y Extrusión","Alta","2019-05-27T23:10:10.000Z","Parte sin baranda lado de escalera, posible caida en piso tornillo alimentador. Colocar baranda en espacio faltante #G1-1000","Cerrada"
"443","Amarilla","Calandrado","Media","2019-05-27T23:10:10.000Z","La manguera de la electrovalvula esta suelta en el piso, riesgo de caidas #G2-1001","Cerrada"
"444","Amarilla","Alimentación y Extrusión","Baja","2019-05-27T23:10:10.000Z","Proteccion de caños (reja) sueltas. Abrocar a la pared #G1-1002","Cerrada"
"463","Amarilla","Calandrado","Media","2019-05-29T23:10:10.000Z","Flexibles de parrilla de estiro estorban el paso a la fosa #G2-529","Cerrada"
"464","Amarilla","Alimentación y Extrusión","Media","2019-06-02T23:10:10.000Z","De la cabina salen en forma permanente gases y humos toxicos #G1-525","Cerrada"
"484","Amarilla","Alimentación y Extrusión","Alta","2019-06-12T23:10:10.000Z","Para vaciar la tolva movil y de compuesto el operario se para en un tacho de plastico #G1-526","Cerrada"
"485","Amarilla","Alimentación y Extrusión","Alta","2019-06-12T23:10:10.000Z","La plataforma del nivel ciclones (nivel 4) tiene movimiento #G1-1003","Cerrada"
"533","Amarilla","Calandrado","Baja","2019-07-03T23:10:10.000Z","Tablero de comando de mesa volteadora abierta  #G2-16","Cerrada"
"574","Amarilla","Calandrado","Media","2019-07-25T23:10:10.000Z","Cable del aire de manipulador suelto - posible caida  #G2-1010","Cerrada"
"575","Amarilla","Calandrado","Media","2019-07-25T23:10:10.000Z","Posible caida a nivel del piso c/ cables de motor de bobinador  #G2-1012","Cerrada"
"603","Amarilla","Calandrado","Media","2019-07-25T23:10:10.000Z","Falta cartelera de punto de atrapamiento en molino  #G2-2600","Cerrada"
"602","Amarilla","Calandrado","Media","2019-07-25T23:10:10.000Z","Falta proteccion completa de los rolos laminadores evitando el atrapamiento ( visto desde foso)lado operador  #G2-2599","Abierta"
"604","Amarilla","Calandrado","Media","2019-07-25T23:10:10.000Z","Bomba hidraulica de mesa volteadora suelta en pasillo #G2-2601","Abierta"
"605","Amarilla","Calandrado","Media","2019-07-25T23:10:10.000Z","Calefactor de calandra ubicado en el pasillo  #G2-2602","Cerrada"
"641","Amarilla","Calandrado","Media","2019-08-05T23:10:10.000Z","Falta cartelera de no usar borne del buje manualmente  #G2-1013","Abierta"
"642","Amarilla","Calandrado","Media","2019-08-05T23:10:10.000Z","Regular fin de mesa volteadora #G2-2592","Cerrada"
"643","Amarilla","Calandrado","Media","2019-08-06T23:10:10.000Z","No hay pasillo lado operador mordazas bobinador #G2-2597","Cerrada"
"644","Amarilla","Alimentación y Extrusión","Alta","2019-08-07T23:10:10.000Z","Caño descubierto a más de 120°C. Frente a tablero. #G1-1014","Cerrada"
"645","Amarilla","Alimentación y Extrusión","Alta","2019-08-07T23:10:10.000Z","Pieza rotativa  al descubierto #G1-1015","Cerrada"
"652","Amarilla","Servicios Auxiliares","Alta","2019-08-08T23:10:10.000Z","Puerta de tablero dañada #G3-1030","Cerrada"
"655","Amarilla","Alimentación y Extrusión","Media","2019-08-10T23:10:10.000Z","Vapor saliente de la fosa flexibles extrusión olor contamina el ambiente. #G1-2670","Cerrada"
"682","Amarilla","Alimentación y Extrusión","Media","2019-08-13T23:10:10.000Z","Bulones de la tapa del extrusor con cabezas redondas. Se sujetan con llave para caños. Tapa extrusor. #G1-2671","Cerrada"
"685","Amarilla","Alimentación y Extrusión","Media","2019-08-15T23:10:10.000Z","La bisagra de la tapa del tornillo del planetario no está. La tapa quedó suspendida. Planetario. Colocar bisagra. #G1-1026","Cerrada"
"686","Amarilla","Alimentación y Extrusión","Media","2019-08-15T23:10:10.000Z","Riesgo de golpe al circular por los nuevos aeroenfriadores. #G1-1027","Cerrada"
"687","Amarilla","Servicios Auxiliares","Media","2019-08-15T23:10:10.000Z","Matafuego de sala de tableros Fuera de poscición #G3-1028","Cerrada"
"688","Amarilla","Servicios Auxiliares","Alta","2019-08-15T23:10:10.000Z","Cables espuestos y termica en desuso #G3-1031","Cerrada"
"757","Amarilla","Calandrado","Alta","2019-08-22T23:10:10.000Z","Pata suelta plataforma de acceso a rolos laminadores #G2-2595","Abierta"
"771","Amarilla","Servicios Auxiliares","Alta","2019-08-24T23:10:10.000Z","Se pueden quemar las manos Falta rejilla protectora salida valvulas #G3-2598","Cerrada"
"830","Amarilla","Alimentación y Extrusión","Media","2019-09-11T23:10:10.000Z","Palanca para prolongar llave alem durante el desarmado #G1-1016","Cerrada"
"845","Amarilla","Calandrado","Media","2019-09-11T23:10:10.000Z","Cable suelto desde toma en la pared hasta calefactor #G2-2603","Abierta"
"869","Amarilla","Servicios Auxiliares","Alta","2019-09-30T23:10:10.000Z","No hay extintor en el area ni identificacion para su colocación. #G3-21","Cerrada"
"873","Amarilla","Alimentación y Extrusión","Alta","2019-10-02T23:10:10.000Z","Cambiar botonera puente grua Calandra #G1-15","Cerrada"
"874","Amarilla","Servicios Auxiliares","Alta","2019-10-02T23:10:10.000Z","Tablero principal obstruido con tarimas y bolson #G3-22","Cerrada"
"882","Amarilla","Alimentación y Extrusión","Alta","2019-10-08T23:10:10.000Z","Mientras se limpia la tolva de alimentación, se observa falta de plataforma y baranda. #G1-23","Cerrada"
"936","Amarilla","Calandrado","Media","2019-10-16T23:10:10.000Z","Peldaños de escalera muy angostos y resbaladizos que obliga a pisar de costado en fosa de C43 #G2-2609","Abierta"
"937","Amarilla","Planta de Mezclado","Media","2019-10-16T23:10:10.000Z","Cuando subo al 3° piso tropiezo con los soportes de la balanza de liquidos que se saco de turbo chico en desuso #G4-2668","Cerrada"
"938","Amarilla","Planta de Mezclado","Media","2019-10-16T23:10:10.000Z","Al pasar el operador de la plataforma de dosificacion de scrap a la de nivel de turbo mezclador esta esta a diferente nivel y trpoiza con el.Nivelar,demarcar riesgo. #G4-2669","Cerrada"
"964","Amarilla","Calandrado","Media","2019-10-31T23:10:10.000Z","Percha para sacar bobinas no homologada, en debobinador de calandra #G2-2665","Cerrada"
"965","Amarilla","Calandrado","Media","2019-10-31T23:10:10.000Z","Hojas de cutter en cesto de pasta de pulir rolos #G2-2666","Abierta"
"966","Amarilla","Calandrado","Media","2019-10-31T23:10:10.000Z","Se coloca el panel de TPM sobre la puerta de entrada al laboratorio de planta #G2-2667","Abierta"
"1022","Amarilla","Planta de Mezclado","Media","2019-11-13T23:10:10.000Z","Base de Madera abajo en desuso2° piso debajo de escalera #G4-2650","Cerrada"
"1023","Amarilla","Planta de Mezclado","Media","2019-11-13T23:10:10.000Z","Silo sin barandade proteccion con riesgo de caida en altura #G4-2651","Cerrada"
"1024","Amarilla","Planta de Mezclado","Media","2019-11-13T23:10:10.000Z","Cartel indicador de posicion de matafuego roto,matafuego de 3° piso. #G4-2652","Cerrada"
"1025","Amarilla","Planta de Mezclado","Media","2019-11-13T23:10:10.000Z","Telefonos de Emergencia Desactualizados en matafuego #G4-2653","Cerrada"
"1033","Amarilla","Calandrado","Media","2019-11-20T23:10:10.000Z","Los gases de calandra salen de la campana en rolo laminadores #G2-17","Abierta"
"1050","Amarilla","Calandrado","Alta","2019-11-20T23:10:10.000Z","Plataforma calandra #G2-2464","Cerrada"
"1051","Amarilla","Calandrado","Media","2019-11-20T23:10:10.000Z","Contaminacion con pasta de pulir en Eq. Emtex #G2-2648","Abierta"
"1052","Amarilla","Calandrado","Media","2019-11-20T23:10:10.000Z","Perdida de aceite en acoples de mangueras de estiro #G2-2649","Abierta"
"1053","Amarilla","Calandrado","Media","2019-11-20T23:10:10.000Z","En plataforma de calandra rolo molesta el paso. Retirar del sector. #G2-2664","Abierta"
"1062","Amarilla","Alimentación y Extrusión","Media","2019-11-22T23:10:10.000Z","Chapón hundido cubre fosa, puede provocar caída. #G1-527","Cerrada"
"1063","Amarilla","Planta de Mezclado","Alta","2019-11-28T23:10:10.000Z","El operador debajo del mezclador p/bases puede golpearse en la espalda o cabeza con el caño de descarga del mezclador de master. #G4-18","Cerrada"
"1111","Amarilla","Alimentación y Extrusión","Alta","2020-01-01T23:10:10.000Z","Sector resbaladizo al bajar de la plataforma. #G1-1034","Cerrada"
"1161","Amarilla","Calandrado","Alta","2020-01-09T23:10:10.000Z","Falta cuerda de vida en acceso a puente #G2-1024","Abierta"
"1184","Amarilla","Servicios Auxiliares","Alta","2020-01-15T23:10:10.000Z","Mata fuego en piso sin soporte ni identificación de riesgo #G3-20","Cerrada"
"1185","Amarilla","Calandrado","Alta","2020-01-16T23:10:10.000Z","Aceite en ingreso a fosa #G2-2659","Cerrada"
"1208","Amarilla","Planta de Mezclado","Alta","2020-02-12T23:10:10.000Z","al abrir el turbo para realizar limpieza del mismo la tapa se encuentra pesada por lo que hay que levantarla o empujarla con el pie #G4-18","Cerrada"
"1211","Amarilla","Planta de Mezclado","Baja","2020-02-12T23:10:10.000Z","Atrapamiento valvula guillotina expuesta sin proteccion #G4-103C","Cerrada"
"1212","Amarilla","Planta de Mezclado","Alta","2020-02-12T23:10:10.000Z","Operario debe trepar la baranda para poder desenganchar el puente grua.Riesgo de caida.Soportes Big-Bag de scrap #G4-104C","Abierta"
"1216","Amarilla","Alimentación y Extrusión","Alta","2020-02-15T23:10:10.000Z","Puerta se zafa por baranda que se mueve. #G1-2537","Cerrada"
"1220","Amarilla","Alimentación y Extrusión","Alta","2020-02-19T23:10:10.000Z","Falta de identificación de riesgo de temperatura. Camisa del tornillo. #G1-1033","Cerrada"
"1221","Amarilla","Alimentación y Extrusión","Alta","2020-02-19T23:10:10.000Z","Flexible corto en el yunto. Para desarmar se debe hacer mucha fuerza, con riesgo de esfuerzo, golpe y/o quemadura. #G1-2531","Cerrada"
"1222","Amarilla","Alimentación y Extrusión","Alta","2020-02-19T23:10:10.000Z","Botonera del puente grúa dañada. No cuenta con stop de emergencia. #G1-2532","Cerrada"
"1223","Amarilla","Alimentación y Extrusión","Alta","2020-02-19T23:10:10.000Z","Luego de usar el Titán en el extrusor, al aflojar se pueden golpear y/o quemar. #G1-2533","Cerrada"
"1269","Amarilla","Alimentación y Extrusión","Alta","2020-03-31T23:10:10.000Z","Chapa para cubrir hueco en piso de tornillo alimentador (nivel 3). Peligro de caída. #G1-2608","Cerrada"
"1280","Amarilla","Calandrado","Media","2020-04-01T23:10:10.000Z","Manipulador se eleva solo y cierra por falta de sensor #G2-528","Cerrada"
"1281","Amarilla","Calandrado","Media","2020-04-01T23:10:10.000Z","Manipulador se eleva solo y cierra por falta de sensor #G2-1045","Cerrada"
"1291","Amarilla","Servicios Auxiliares","Media","2020-04-06T23:10:10.000Z","Mata fuego en piso sin soporte ni identificación de riesgo #G3-1038","Cerrada"
"1296","Amarilla","Alimentación y Extrusión","Alta","2020-04-26T23:10:10.000Z","Al estar limpiando golpeo con la cabeza ductos de aceite que están bajos. También válvulas. (Entre equipos calefact.) #G1-2604","Abierta"
"1300","Amarilla","Planta de Mezclado","Alta","2020-05-02T23:10:10.000Z","Carro en malas condiciones, riesgo en altura #G4-1040","Cerrada"
"1301","Amarilla","Planta de Mezclado","Media","2020-05-02T23:10:10.000Z","El cable de tierra de la sisterna no esta soportado, queda en el piso #G4-2606","Cerrada"
"1307","Amarilla","Calandrado","Baja","2020-05-04T23:10:10.000Z","No hay recipiente para hojas de cutter #G2-1035","Cerrada"
"1308","Amarilla","Calandrado","Alta","2020-05-04T23:10:10.000Z","Estantería sin vincular a otras estanterías riesgo de caída #G2-1037","Cerrada"
"1310","Amarilla","Calandrado","Alta","2020-05-04T23:10:10.000Z","Riesgo de atrapamiento entre rolo opresor y el primero de frío si la protección está sin colocar #G2-2534","Cerrada"
"1312","Amarilla","Calandrado","Media","2020-05-12T23:10:10.000Z","Aceite en desuso al lado de MP #G2-19","Abierta"
"1320","Amarilla","Alimentación y Extrusión","Alta","2020-05-12T23:10:10.000Z","Falta stop emergencia en comando puente grúa grande C43. #G1-1048","Cerrada"
"1329","Amarilla","Calandrado","Baja","2020-05-12T23:10:10.000Z","Sendas peatonales obstruídas por elementos de máquina #G2-2547","Abierta"
"1330","Amarilla","Calandrado","Media","2020-05-12T23:10:10.000Z","Sendas peatonales obstruidas por elementos de maquina C43 #G2-2547","Abierta"
"1331","Amarilla","Calandrado","Media","2020-05-12T23:10:10.000Z","Zona de trabajo sin delimitar, circulacion de personal #G2-2548","Cerrada"
"1332","Amarilla","Calandrado","Media","2020-05-12T23:10:10.000Z","Personal de mto trabajando en altura sin casco #G2-2549","Abierta"
"1333","Amarilla","Calandrado","Media","2020-05-12T23:10:10.000Z","Personal de mto trabajando en altura sin arnes #G2-2550","Abierta"
"1334","Amarilla","Calandrado","Media","2020-05-12T23:10:10.000Z","Personal tercero sin casco en la fosa #G2-2551","Abierta"
"1336","Amarilla","Calandrado","Media","2020-05-12T23:10:10.000Z","zona no delimitada de trabajo #G2-2584","Cerrada"
"1337","Amarilla","Alimentación y Extrusión","Media","2020-05-12T23:10:10.000Z","Riesgo caída. Plataforma extrusor (lado este). Falta colocar baranda. #G1-2591","Cerrada"
"1335","Amarilla","Calandrado","Media","2020-05-12T23:10:10.000Z","Refile fosa #G2-2583","Abierta"
"1362","Amarilla","Calandrado","Media","2020-05-28T23:10:10.000Z","Operarios trabajando al lado del apilador en movimiento #G2-2605","Cerrada"
"1370","Amarilla","Calandrado","Alta","2020-06-04T23:10:10.000Z","Se cortó gancho del cabezal al colocar en el extrusor #G2-1045","Cerrada"
"1369","Amarilla","Alimentación y Extrusión","Baja","2020-06-04T23:10:10.000Z","Tablero electrónico obstruido por elementos de limpieza. Tablero comando extrusor. Delimintar zona para elementos de limpieza en otro lugar. #G1-1041","Cerrada"
"1371","Amarilla","Calandrado","Alta","2020-06-04T23:10:10.000Z","No funciona titán #G2-1045","Cerrada"
"1378","Amarilla","Alimentación y Extrusión","Media","2020-06-12T23:10:10.000Z","Falta stop de emergencia en comando manual. Puente grúa chico C43. #G1-1047","Cerrada"
"1380","Amarilla","Calandrado","Alta","2020-06-13T23:10:10.000Z","Riesgo al hacer el pasaje de Polietileno en los laminados en línea (PVC/PE) #G2-2351","Abierta"
"1395","Amarilla","Calandrado","Media","2020-06-17T23:10:10.000Z","Piso de fosa resbaladizo por perdida de aceite #G2-2614","Cerrada"
"1396","Amarilla","Servicios Auxiliares","Media","2020-06-17T23:10:10.000Z","Soporte puede golpear operarios #G3-2673","Cerrada"
"1415","Amarilla","Planta de Mezclado","Media","2020-06-18T23:10:10.000Z","Estanteria suelta en almacen, no tiene tirantes de agarre #G4-1037","Cerrada"
"1432","Amarilla","Calandrado","Alta","2020-06-24T23:10:10.000Z","piso resbaladizo en fosa calandra #G2-2621","Cerrada"
"1433","Amarilla","Calandrado","Alta","2020-06-24T23:10:10.000Z","Aislar cañería aceite rolos de estiro #G2-2622","Abierta"
"1434","Amarilla","Calandrado","Alta","2020-06-24T23:10:10.000Z","Delimitar zona TPM no restringida #G2-2623","Cerrada"
"1435","Amarilla","Calandrado","Alta","2020-06-24T23:10:10.000Z","Contratista sin casco en altura #G2-2624","Cerrada"
"1461","Amarilla","Calandrado","Alta","2020-07-03T23:10:10.000Z","Herramienta no adecuada para desarmar cabezal #G2-1049","Cerrada"
"1462","Amarilla","Calandrado","Media","2020-07-03T23:10:10.000Z","Defensa rolo opresor se pasa y roza el rolo rompiendo la goma #G2-1050","Cerrada"
"1527","Amarilla","Servicios Auxiliares","Media","2020-08-05T23:10:10.000Z","Chapa torsida riesgo de corte #G3-2630","Cerrada"
"1528","Amarilla","Calandrado","Alta","2020-08-05T23:10:10.000Z","Laminado con PE riesgo de atrapamiento  #G2-2631","Abierta"
"1535","Amarilla","Planta de Mezclado","Alta","2020-08-09T23:10:10.000Z","Constante peligro con bolsones de resina en altura #G4-2617","Cerrada"
"1547","Amarilla","Planta de Mezclado","Alta","2020-08-13T23:10:10.000Z","Tapa piso superior del turbo, dificil para manipular #G4-1044","Cerrada"
"1552","Amarilla","Planta de Mezclado","Alta","2020-08-13T23:10:10.000Z","Eliminar parte de estructura deposito de liquidos #G4-2545","Cerrada"
"1553","Amarilla","Planta de Mezclado","Alta","2020-08-13T23:10:10.000Z","Salida de turbo hacia almacen, cortar esquina y sacar filo #G4-2587","Cerrada"
"1563","Amarilla","Servicios Auxiliares","Media","2020-08-21T23:10:10.000Z","Proteccion expone el acople  bomba 3 #G3-2540","Cerrada"
"1565","Amarilla","Servicios Auxiliares","Media","2020-08-22T23:10:10.000Z","Proteccion expone el acople bomba 4 #G3-2634","Cerrada"
"1581","Amarilla","Alimentación y Extrusión","Alta","2020-08-31T23:10:10.000Z","Caño expuesto presenta riesgo de corte en baranda sobre planetario. #G1-2541","Cerrada"
"1584","Amarilla","Planta de Mezclado","Media","2020-09-01T23:10:10.000Z","Falta tramo pasamanos #G4-2544","Cerrada"
"1596","Amarilla","Planta de Mezclado","Media","2020-09-11T23:10:10.000Z","Peligro de corte por filo expuesto de abrazaderos 1° piso #G4-2585","Cerrada"
"1597","Amarilla","Alimentación y Extrusión","Alta","2020-09-11T23:10:10.000Z","Pérdida de kersoene en el piso. Reparar pérdida o cambiar. #G1-2663","Abierta"
"1598","Amarilla","Alimentación y Extrusión","Alta","2020-09-14T23:10:10.000Z","4 tornillos sobresalen del piso. Peligro de tropezón. #G1-2660","Cerrada"
"1608","Amarilla","Planta de Mezclado","Media","2020-09-18T23:10:10.000Z","Falta baranda plataforma superior de liquidos #G4-2612","Cerrada"
"1611","Amarilla","Planta de Mezclado","Media","2020-09-24T23:10:10.000Z","Chapa de boca del molino levantada #G4-2542","Cerrada"
"1612","Amarilla","Planta de Mezclado","Media","2020-09-25T23:10:10.000Z","Falta limitador de paso en molino #G4-2546","Cerrada"
"1629","Amarilla","Planta de Mezclado","Media","2020-10-20T23:10:10.000Z","Cambiar tarima para poder transportar big bag de resina con zorra electrica #G4-2677","Cerrada"
"1652","Amarilla","Calandrado","Media","2020-10-28T23:10:10.000Z","Correa para realizar largada de máquina deteriorada - Riesgo de rotura #G2-2575","Cerrada"
"1653","Amarilla","Calandrado","Media","2020-10-28T23:10:10.000Z","Cable suelto en cortadora de hojas en línea #G2-2576","Cerrada"
"1654","Amarilla","Calandrado","Alta","2020-10-28T23:10:10.000Z","Riesgo de atrapamiento durante la largada de la máquina al pegar el film al buje #G2-2577","Abierta"
"1655","Amarilla","Calandrado","Alta","2020-10-28T23:10:10.000Z","Colocar protección cuchilla de refile lado operador #G2-2578","Cerrada"
"1657","Amarilla","Calandrado","Baja","2020-10-28T23:10:10.000Z","Hacer LUP de largada #G2-2580","Abierta"
"1656","Amarilla","Calandrado","Alta","2020-10-28T23:10:10.000Z","Primer peldaño de acceso a fosa salido #G2-2579","Cerrada"
